N,Triton,Torch
1024.000000,303.407414,351.085705
1536.000000,357.902918,400.695643
2048.000000,406.214885,413.042029
2560.000000,461.954908,393.846167
3072.000000,485.052653,359.648774
3584.000000,505.976473,353.975305
4096.000000,525.689846,351.085705
4608.000000,539.473160,341.333340
5120.000000,558.545450,331.212936
5632.000000,563.310028,329.678042
6144.000000,576.000001,317.793096
6656.000000,580.887276,321.416498
7168.000000,589.150662,319.762069
7680.000000,590.769251,319.445392
8192.000000,601.362644,314.070291
8704.000000,616.212406,309.934714
9216.000000,619.563005,305.068231
9728.000000,625.930315,302.817124
10240.000000,628.542186,299.342257
10752.000000,627.854035,297.290332
11264.000000,634.591530,297.726876
11776.000000,636.540534,295.014608
12288.000000,635.586191,291.703260
12800.000000,640.000016,291.737896
13312.000000,644.129041,291.769875
13824.000000,640.494226,293.347481
14336.000000,640.715067,291.834720
14848.000000,644.397807,288.544136
15360.000000,644.475536,288.225185
15872.000000,646.736839,287.059538
