N,Triton,Torch
1024.000000,528.516136,528.516136
1536.000000,572.158608,558.545450
2048.000000,595.781814,574.877182
2560.000000,602.352931,576.901391
3072.000000,592.192778,578.258826
3584.000000,616.602135,591.175279
4096.000000,624.524129,606.814814
4608.000000,609.322328,590.119034
5120.000000,615.939877,597.956224
5632.000000,621.462077,604.778525
6144.000000,630.153868,603.092009
6656.000000,630.153823,619.162791
7168.000000,633.635374,619.935145
7680.000000,639.999977,620.606079
8192.000000,642.509816,621.194295
8704.000000,641.769605,624.502255
9216.000000,643.912671,630.153829
9728.000000,643.173568,631.512128
10240.000000,645.039336,625.343543
10752.000000,637.155580,623.304334
11264.000000,641.366580,627.958183
11776.000000,643.058042,623.894039
12288.000000,644.616406,620.214515
12800.000000,644.025146,620.606042
13312.000000,645.430284,619.162791
13824.000000,646.736816,616.111424
14336.000000,647.954823,615.800311
14848.000000,652.547309,606.040836
15360.000000,650.158735,597.956224
15872.000000,651.158973,590.714847
